date,model_type,ev_portion,max_peak,charging_costs,carbon_emissions
2023-02-06,cem,80%,24.168200157730507,-7.898328523717602,-13.0954726196965
2023-02-06,ps,100%,-17.81914887565583,-1.0605271075641023,-3.881580185028171
2023-02-06,ccm,100%,22.18764553960793,-9.457587289476765,-10.5692361762765
2023-02-06,cem,100%,24.228375460434396,-7.876341709694936,-13.059230968608606
2023-02-07,ps,15%,-7.157769161896978,-1.3557751128220992,-5.229310460146314
2023-02-07,ccm,15%,-5.9797196540411575,-3.9932920859292302,-5.668640587184939
2023-02-07,cem,15%,-7.157769161944527,-3.491536427043683,-7.7358402962235
2023-02-07,ps,30%,-14.26013908949258,-1.5642646663608044,-5.1900031707476515
2023-02-07,ccm,30%,-12.242649590305032,-4.585955864964843,-5.7913139425945275
2023-02-07,cem,30%,-13.174963850444122,-4.059577849373977,-7.731575882898402
2023-02-07,ps,50%,-22.422278985418927,-1.7941950067352035,-4.9388411129776655
2023-02-07,ccm,50%,-13.4035262600461,-4.935517868271408,-5.906286732150336
2023-02-07,cem,50%,-10.072892654663256,-4.38239143032401,-7.809572567361177
2023-02-07,ps,80%,-30.318002476485027,-2.0448113860832033,-4.78404956713249
2023-02-07,ccm,80%,-8.680926916221042,-4.850722375055418,-5.917206182503619
2023-02-07,cem,80%,-6.17647058823529,-4.3145446741456315,-7.839968126464197
2023-02-07,ps,100%,-32.51875372582458,-2.082838136576544,-4.522691667576831
2023-02-07,ccm,100%,-5.780143676675805,-4.8472850009724,-5.886154800889059
2023-02-07,cem,100%,-3.627060830017052,-4.308059359832588,-7.81035482634134
2023-02-08,ps,15%,-6.356272238596985,-8.35975691569897,-16.29902674429999
2023-02-08,ccm,15%,-6.18971913089532,-17.172770361158218,-19.64495189550178
2023-02-08,cem,15%,-6.356272238624899,-15.085775954902331,-23.18734071151765
2023-02-08,ps,30%,-13.62150837988644,-6.523749790241476,-14.773072713361648
2023-02-08,ccm,30%,-9.692737430167346,-17.051323266768755,-18.98219082722293
2023-02-08,cem,30%,-9.924581005586344,-14.831779775250467,-23.169910382589453
